Word	Part-Of-Speech	Weight	Frequency
破坏	v	3.51	2
人权	n	3.51	2
享受	v	3.51	2
患者	n	3.51	2
发布	v	3.51	2
打破	v	3.51	2
英雄	n	3.51	2
优先	v	3.51	2
具备	v	3.51	2
数据	n	3.51	2
看来	v	3.51	2
资格	n	3.51	2
传播	v	3.51	2
遵守	v	3.51	2
并非	v	3.51	2
透露	v	3.51	2
到来	vi	3.51	2
干预	v	3.51	2
纠正	v	3.51	2
地球	n	3.51	2
移民	v	3.51	2
理由	n	3.51	2
来源	n	3.51	2
好处	n	3.51	2
记得	v	3.51	2
吃饭	vi	3.51	2
入手	vi	3.51	2
脱离	v	3.51	2
爆炸	vn	3.51	2
说法	n	3.51	2
官方	n	3.51	2
名誉	n	3.51	2
据说	v	3.51	2
保存	v	3.51	2
准则	n	3.51	2
人间	n	3.51	2
表面	n	3.51	2
来临	vi	3.51	2
抵制	v	3.51	2
消灭	v	3.51	2
内心	n	3.51	2
超出	v	3.51	2
理性	n	3.51	2
细胞	n	3.51	2
机器	n	3.51	2
大自然	n	3.51	2
海水	n	3.51	2
阻碍	v	3.51	2
阶层	n	3.51	2
种族	n	3.51	2
阶级	n	3.51	2
实验室	n	3.51	2
食物	n	3.51	2
不止	v	3.51	2
开端	n	3.51	2
外界	n	3.51	2
多样性	n	3.51	2
私利	n	3.51	2
越过	v	3.51	2
全身	n	3.51	2
坚守	v	3.51	2
害怕	v	3.51	2
预言	v	3.51	2
无关	v	3.51	2
废弃	v	3.51	2
验证	v	3.51	2
生病	vi	3.51	2
疫苗	n	3.51	2
星球	n	3.51	2
事儿	n	3.51	2
剧情	n	3.51	2
关乎	v	3.51	2
贫富	n	3.51	2
天使	n	3.51	2
评判	vn	3.51	2
不好意思	vl	3.51	2
说实话	vl	3.51	2
改写	v	3.51	2
心疼	v	3.51	2
生化	n	3.51	2
吆喝	v	3.51	2
畸形	n	3.51	2
深渊	n	3.51	2
危害性	n	3.51	2
处以	v	3.51	2
先天	n	3.51	2
柯达	nz	3.51	2
犯法	vi	3.51	2
名流	n	3.51	2
愧对	v	3.51	2
福音	n	3.51	2
血型	n	3.51	2
牵扯	v	3.51	2
新生儿	n	3.51	2
莫名	v	3.51	2
至极	vi	3.51	2
常理	n	3.51	2
优胜	vi	3.51	2
基因组	n	3.51	2
自以为是	vl	3.51	2
病愈	vi	3.51	2
峰会	n	3.51	2
拜托	v	3.51	2
活人	n	3.51	2
无话可说	vl	3.51	2
令人发指	vl	3.51	2
关上	v	3.51	2
禽兽	n	3.51	2
固化	v	3.51	2
发声	vn	3.51	2
处死	v	3.51	2
自作聪明	vl	3.51	2
万恶	n	3.51	2
人种	n	3.51	2
受试者	n	3.51	2
先斩后奏	vl	3.51	2
枪毙	v	3.51	2
安乐死	v	3.51	2
喷子	n	3.51	2
根本	d	3.46	8
一定	d	3.43	10
不要	d	3.42	7
电脑	n	3.42	3
解释	v	3.42	3
声音	n	3.42	3
发明	v	3.42	3
纳粹	n	3.42	3
路过	v	3.42	3
知情	vi	3.42	3
一旦	d	3.39	6
严惩	v	3.34	5
真	a	3.31	49
么样	n_new	3.20	5
病	n	3.17	9
优秀	a	3.11	4
伟大	a	3.11	4
完美	a	3.11	4
成熟	a	3.10	7
也许	d	3.03	8
        	n	3.03	7
真是	d	2.99	6
万一	d	2.98	7
居然	d	2.95	5
机器人	nt	2.92	2
国外	s	2.89	9
一些	mq	2.88	8
神	n	2.82	6
改	v	2.80	7
引发	v	2.77	3
贺建奎	nr	2.76	2
基本	a	2.63	5
枉顾	n_new	2.59	2
背锅	n_new	2.59	2
图片评论	n_new	2.59	2
人类文明	n_new	2.59	2
人类基因库	n_new	2.59	2
平等	a	2.57	4
强大	a	2.57	4
聪明	a	2.57	4
惊喜	an	2.57	4
疯狂	a	2.57	4
所有	b	2.57	7
难道	d	2.54	8
其实	d	2.54	5
竟然	d	2.54	5
很多	m	2.54	6
一点	mq	2.54	6
突然	ad	2.51	5
真的	d	2.50	6
脸	n	2.49	6
工作	vn	2.49	3
一直	d	2.49	4
非常	d	2.49	4
或许	d	2.49	4
有关	vn	2.48	3
地方	n	2.48	3
不同	a	2.48	3
情节	n	2.48	3
SEED	n	2.48	3
痛苦	an	2.48	3
单纯	a	2.48	3
不对	a	2.48	3
出名	a	2.48	3
沦丧	vn	2.48	3
残忍	a	2.48	3
无耻	a	2.48	3
叶酸	n	2.48	3
子	ng	2.46	5
有利	a	2.44	6
普通	a	2.43	4
发达	a	2.43	4
科学院	n	2.43	2
骄傲	a	2.40	5
同类	n	2.40	1
            	n	2.35	6
cCR5	x	2.24	4
错	v	2.18	9
体	ng	2.17	9
群众	n	2.16	2
思想	n	2.16	2
完成	v	2.16	2
态度	n	2.16	2
故事	n	2.16	2
上升	vi	2.16	2
校长	n	2.16	2
成长	vi	2.16	2
角度	n	2.15	2
性质	n	2.15	2
人人	n	2.15	2
造福	v	2.15	2
辐射	v	2.15	2
赞同	v	2.15	2
算是	v	2.15	2
物种	n	2.15	2
请问	v	2.15	2
借用	v	2.15	2
科学界	n	2.15	2
天才	n	2.15	2
炫耀	v	2.15	2
盒子	n	2.15	2
计委	n	2.15	2
鬼子	n	2.15	2
简史	n	2.15	2
凌驾	v	2.15	2
根植	v	2.15	2
变种	n	2.15	2
该死	vi	2.15	2
恶魔	n	2.15	2
外挂	v	2.15	2
好意思	vi	2.15	2
两面性	n	2.15	2
生物界	n	2.15	2
狗屁	n	2.15	2
算	v	2.14	7
害	n	2.14	7
放	v	2.12	5
功能	n	2.11	3
智力	n	2.11	3
药物	n	2.11	3
意思	n	2.11	3
拿人	v	2.11	3
妈	n	2.10	9
永远	d	2.09	9
动	v	2.07	4
弄	v	2.07	4
逼	v	2.07	4
人为	d	2.06	4
弊	ng	2.04	8
731	m	1.99	15
特别	d	1.98	3
更加	d	1.98	3
最终	d	1.98	3
终于	d	1.98	3
肯定	d	1.98	3
总是	d	1.98	3
实在	d	1.98	3
不用	d	1.98	3
慢慢	d	1.98	3
主要问题	n_new	1.92	1
消除个体	n_new	1.92	1
母婴阻断	n_new	1.92	1
敲除	n_new	1.92	1
基因突变	n_new	1.92	1
癌症病人	n_new	1.92	2
父母双方	n_new	1.92	1
抵御艾滋	n_new	1.92	1
子传	nr2	1.92	1
加评论	n_new	1.92	1
调整者	n_new	1.92	1
加速人类	n_new	1.92	1
热搜	n_new	1.92	1
科研工作者	n_new	1.92	1
敲掉	n_new	1.92	1
普通民众	n_new	1.92	1
点点点点	n_new	1.92	1
家族史	n_new	1.92	1
基因链	n_new	1.92	1
基因重组	n_new	1.92	1
法律法规	n_new	1.92	1
临床试验	n_new	1.92	1
伦理审查	n_new	1.92	1
              	n	1.92	1
一拼	n_new	1.92	1
小图	nr2	1.92	1
未来简史	n_new	1.92	1
                        	n	1.92	1
卫法	nr2	1.92	1
科学献身	n_new	1.92	1
基因编程	n_new	1.92	1
  	n	1.92	1
链接	n_new	1.92	2
                	n	1.92	1
转发微博	n_new	1.92	1
科学狂人	n_new	1.92	1
动漫	n_new	1.92	1
压根	n_new	1.92	1
终身监禁	n_new	1.92	1
科学素养	n_new	1.92	1
高铁	n	1.92	1
可以拍	n_new	1.92	1
擅自篡改	n_new	1.92	1
超赞	nr2	1.92	1
基因治愈	n_new	1.92	1
干涉人类	n_new	1.92	1
遵循自然规律	n_new	1.92	1
                    	n	1.92	1
特么	n_new	1.92	1
新闻发布会	n_new	1.92	1
更改基因	n_new	1.92	1
制约科学	n_new	1.92	1
魔幻	n_new	1.92	1
合规	n_new	1.92	1
@Dream	n	1.92	1
超级	b	1.91	5
先进	a	1.89	3
巨大	a	1.89	3
正常	a	1.89	3
谨慎	a	1.89	3
可笑	a	1.89	3
愚蠢	a	1.89	3
吓人	a	1.89	3
缺德	a	1.89	3
丧心病狂	al	1.89	4
第一	m	1.89	11
坚决	ad	1.84	4
悲哀	an	1.84	4
严格	a	1.76	2
合理	a	1.76	2
必要	a	1.75	2
自由	a	1.75	2
彻底	a	1.75	2
确实	ad	1.75	2
大胆	ad	1.75	2
光荣	a	1.75	2
不行	a	1.75	2
自豪	a	1.75	2
意外	a	1.75	2
贫穷	a	1.75	2
主观	a	1.75	2
漂亮	a	1.75	2
邪恶	an	1.75	2
丢人	a	1.75	2
可悲	a	1.75	2
不要脸	a	1.75	2
够	v	1.75	5
笑	v	1.71	4
正确	a	1.71	3
矛盾	an	1.71	3
强烈	ad	1.71	3
深圳	ns	1.70	3
懂	v	1.68	15
贺	vg	1.68	5
区	n	1.65	3
怕	v	1.65	3
权	n	1.65	3
补	v	1.65	3
抗	v	1.65	3
判	v	1.65	3
服	v	1.65	3
喷	v	1.65	3
简直	d	1.63	4
企业	n	1.61	1
改革	v	1.61	1
关系	n	1.61	1
管理	vn	1.61	1
加强	v	1.60	1
服务	v	1.60	1
人员	n	1.60	1
文化	n	1.60	1
实现	v	1.60	1
精神	n	1.60	1
举行	v	1.60	1
代表	n	1.60	1
公司	n	1.60	1
基础	n	1.60	1
产品	n	1.60	1
工程	n	1.60	1
机构	n	1.60	1
资金	n	1.60	1
形成	v	1.60	1
产业	n	1.60	1
得到	v	1.60	1
具有	v	1.60	1
结构	n	1.60	1
实际	n	1.60	1
任务	n	1.60	1
发挥	v	1.60	1
调整	vn	1.60	1
结合	v	1.60	1
统一	v	1.60	1
保持	v	1.60	1
信息	n	1.60	1
重视	v	1.60	1
学生	n	1.60	1
达到	v	1.60	1
传统	n	1.60	1
素质	n	1.60	1
资源	n	1.60	1
包括	v	1.60	1
推动	v	1.60	1
投入	vn	1.60	1
认识	v	1.60	1
创造	v	1.60	1
形式	n	1.60	1
过去	vf	1.60	1
制定	v	1.60	1
年代	n	1.60	1
内容	n	1.60	1
原则	n	1.60	1
标准	n	1.60	1
召开	v	1.60	1
粮食	n	1.60	1
机制	n	1.60	1
力量	n	1.60	1
执行	v	1.60	2
保障	v	1.60	1
体系	n	1.60	1
高度	n	1.60	1
来自	v	1.60	1
土地	n	1.60	1
完善	v	1.60	1
欢迎	v	1.60	1
持续	vd	1.60	1
观念	n	1.60	1
关键	n	1.60	1
委员会	n	1.60	1
适应	v	1.60	1
准备	v	1.60	1
扶贫	vi	1.60	1
统计	v	1.60	2
转变	vn	1.60	1
范围	n	1.60	1
引起	v	1.60	1
专业	n	1.60	1
商业	n	1.60	1
基地	n	1.60	1
方法	n	1.60	1
价值	n	1.60	1
面积	n	1.60	1
资本	n	1.60	1
机会	n	1.60	1
集团	n	1.60	1
下降	vi	1.60	1
鼓励	v	1.60	1
注意	v	1.60	1
确保	v	1.60	1
特点	n	1.60	1
负责人	n	1.60	3
方案	n	1.60	1
推广	v	1.60	1
趋势	n	1.60	1
分配	v	1.60	1
核心	n	1.60	1
打击	v	1.60	1
方向	n	1.60	1
做出	v	1.60	1
运动	vn	1.60	1
法制	n	1.60	1
面向	v	1.60	1
在于	v	1.60	2
文章	n	1.60	1
局面	n	1.60	1
运行	vn	1.60	1
法规	n	1.60	1
全体	n	1.60	1
不足	v	1.60	1
搞好	v	1.60	1
有所	v	1.60	1
加入	v	1.60	1
处于	v	1.60	1
充满	v	1.60	1
同意	v	1.60	1
强化	v	1.60	1
学术	n	1.60	1
总体	n	1.60	1
效果	n	1.60	1
涉及	v	1.60	1
图书	n	1.60	1
做法	n	1.60	1
研制	v	1.60	2
官员	n	1.60	1
区域	n	1.60	1
奋斗	vi	1.60	1
满足	v	1.60	1
森林	n	1.60	1
缺乏	v	1.60	1
观点	n	1.60	1
批评	v	1.60	1
数量	n	1.60	1
事故	n	1.60	1
权力	n	1.60	1
遇到	v	1.60	1
展开	v	1.60	1
宗教	n	1.60	1
不得	vi	1.60	1
现有	vn	1.60	1
真理	n	1.60	1
威胁	v	1.60	1
工作者	n	1.60	1
拒绝	v	1.60	1
女儿	n	1.60	1
小学	n	1.60	1
推向	v	1.60	1
绿色	n	1.60	1
思考	v	1.60	1
申请	v	1.60	1
失去	v	1.60	1
时刻	n	1.60	1
大国	n	1.60	1
会长	n	1.60	1
消除	v	1.60	1
愿望	n	1.60	1
回到	v	1.60	1
对象	n	1.60	1
积累	v	1.60	1
交往	vi	1.60	1
热点	n	1.60	1
感情	n	1.60	1
祝贺	v	1.60	1
游客	n	1.60	1
身体	n	1.60	1
国防	n	1.60	1
出台	vi	1.60	1
妈妈	n	1.60	1
庆祝	v	1.60	1
处罚	vn	1.60	1
设置	v	1.60	1
危害	vn	1.60	1
对待	v	1.60	1
国民	n	1.60	1
司机	n	1.60	1
荣誉	n	1.60	1
制止	v	1.60	1
国情	n	1.60	1
哲学	n	1.60	1
空气	n	1.60	1
喜欢	vi	1.60	1
损害	vn	1.60	1
重组	vn	1.60	1
智慧	n	1.60	1
意味着	v	1.60	1
精力	n	1.60	1
纳入	v	1.60	1
子女	n	1.60	1
预测	vn	1.60	1
分歧	n	1.60	1
心情	n	1.60	1
使得	vi	1.60	1
陷入	v	1.60	1
规范化	vi	1.60	1
追究	v	1.60	1
人事	n	1.60	1
群体	n	1.60	1
导向	n	1.60	1
变革	vn	1.60	1
人格	n	1.60	1
名字	n	1.60	1
鉴定	v	1.60	1
提倡	v	1.60	1
解除	v	1.60	1
拉开	v	1.60	1
自主	vd	1.60	1
概念	n	1.60	1
温饱	n	1.60	1
大众	n	1.60	1
福利	n	1.60	1
情感	n	1.60	1
思维	n	1.60	1
效应	n	1.60	1
武术	n	1.60	2
历史性	n	1.60	1
暴力	n	1.60	1
著作	n	1.60	1
明星	n	1.60	1
框架	n	1.60	1
收获	n	1.60	1
获悉	v	1.60	1
热爱	v	1.60	1
校园	n	1.60	1
爆发	v	1.60	1
不顾	v	1.60	1
调节	vn	1.60	1
功夫	n	1.60	1
警告	vn	1.60	1
赞成	v	1.60	1
扩散	v	1.60	2
结论	n	1.60	1
天下	n	1.60	1
分裂	vi	1.60	1
兴奋	v	1.60	1
期待	v	1.60	1
眼光	n	1.60	1
沟通	v	1.60	1
营养	n	1.60	1
赞扬	v	1.60	1
带有	v	1.60	1
定位	n	1.60	1
信誉	n	1.60	1
事物	n	1.60	1
提醒	v	1.60	1
水稻	n	1.60	1
判断	v	1.60	1
天然气	n	1.60	1
分离	vi	1.60	1
消化	v	1.60	1
对抗	vn	1.60	1
征求	v	1.60	1
民众	n	1.60	1
审核	vn	1.60	1
迈出	v	1.60	1
出国	vi	1.60	1
放心	v	1.60	1
说是	v	1.60	1
支撑	v	1.60	1
懂得	v	1.60	1
取代	v	1.60	2
企图	v	1.60	1
上班	vi	1.60	1
等级	n	1.60	1
男女	n	1.60	1
成分	n	1.60	1
干涉	vn	1.60	1
划分	v	1.60	1
化学	n	1.60	1
开会	vi	1.60	2
想法	n	1.60	1
看见	v	1.60	1
放开	v	1.60	1
变为	v	1.60	1
丧失	v	1.60	1
看好	v	1.60	1
修养	n	1.60	1
角色	n	1.60	1
清除	v	1.60	1
人文	n	1.60	1
性能	n	1.60	1
消失	vi	1.60	1
焦点	n	1.60	1
跨越	v	1.60	1
挂钩	vi	1.60	1
世人	n	1.60	1
手里	n	1.60	1
地域	n	1.60	1
不见	v	1.60	1
披露	v	1.60	1
有待	v	1.60	1
统治	vn	1.60	1
体验	vn	1.60	1
极端	n	1.60	1
看待	v	1.60	1
二战	n	1.60	1
隐患	n	1.60	1
终身	n	1.60	3
监控	v	1.60	1
弊端	n	1.60	1
否认	v	1.60	1
推销	v	1.60	1
管制	vn	1.60	1
回去	v	1.60	1
认可	vi	1.60	1
试图	v	1.60	1
残疾	n	1.60	1
毫无	v	1.60	1
当做	v	1.60	1
留给	v	1.60	1
对比	vn	1.60	1
外国人	n	1.60	1
不怕	v	1.60	1
当作	v	1.60	1
答案	n	1.60	1
人道主义	n	1.60	1
跟踪	v	1.60	1
上演	v	1.60	1
对付	v	1.60	1
代替	v	1.60	1
发育	vi	1.60	1
义务教育	nl	1.60	1
治病	vi	1.60	1
驾驭	v	1.60	1
序幕	n	1.60	1
故居	n	1.60	1
农作物	n	1.60	1
在座	vi	1.60	1
也就是说	vl	1.60	1
声称	v	1.60	1
借口	n	1.60	1
诱惑	vn	1.60	1
典范	n	1.60	1
康复	vn	1.60	2
宇宙	n	1.60	1
体力	n	1.60	1
平民	n	1.60	1
正面	n	1.60	1
出发点	n	1.60	1
种类	n	1.60	1
提升	v	1.60	1
对照	vn	1.60	1
局限	vi	1.60	1
曝光	vi	1.60	1
蓝色	n	1.60	1
顺应	v	1.60	1
人身	n	1.60	1
分化	vi	1.60	1
无私	v	1.60	1
女孩	n	1.60	1
毛病	n	1.60	1
知名度	n	1.60	1
寿命	n	1.60	1
当成	v	1.60	1
弱点	n	1.60	1
演变	vi	1.60	1
置身	v	1.60	1
常识	n	1.60	1
大豆	n	1.60	1
分解	v	1.60	1
兼顾	v	1.60	1
突破性	n	1.60	1
处置	vn	1.60	1
案例	n	1.60	1
日新月异	vl	1.60	1
筛选	v	1.60	1
备案	vi	1.60	1
行径	n	1.60	1
一角	n	1.60	1
题目	n	1.60	1
智能	n	1.60	1
得罪	v	1.60	1
攻克	v	1.60	1
罪行	n	1.60	1
饭碗	n	1.60	1
好人	n	1.60	2
意味	n	1.60	1
分享	v	1.60	1
深思	vi	1.60	1
挣钱	vi	1.60	1
核实	v	1.60	1
理念	n	1.60	1
杂交	vn	1.60	1
蝴蝶	n	1.60	1
生育	v	1.60	1
特性	n	1.60	1
剥夺	v	1.60	1
瘫痪	vi	1.60	1
味道	n	1.60	1
点燃	v	1.60	1
