Word	Part-Of-Speech	Weight	Frequency
迫害	vn	4.96	3
孕育	v	4.96	3
请问	v	4.96	3
保密	vn	4.96	3
无罪	vi	4.96	3
点儿	n	4.96	3
评判	v	4.96	3
天使	n	4.96	3
良知	n	4.96	3
生怕	v	4.96	3
质疑	vi	4.96	3
理智	n	4.96	3
胎儿	n	4.96	3
学界	n	4.96	3
开玩笑	vi	4.96	3
缓刑	vi	4.96	3
突变	vi	4.96	3
祸害	n	4.96	3
反驳	v	4.96	3
量刑	vi	4.96	3
坐牢	vi	4.96	3
植入	v	4.96	3
唾弃	v	4.96	3
伴侣	n	4.96	3
何去何从	vl	4.96	3
高三	n	4.96	3
枪毙	v	4.96	3
名利	n	4.91	10
行政	n	4.89	5
自然规律	nl	4.89	6
活动	vn	4.87	4
保证	v	4.87	4
贡献	n	4.87	4
规范	v	4.86	4
从事	vi	4.86	4
角度	n	4.86	4
扩散	v	4.86	2
人间	n	4.86	4
实验室	n	4.86	4
病毒	n	4.86	4
私利	n	4.86	4
牢狱	n	4.86	4
分身	vi	4.86	4
一辈子	mq	4.84	24
生殖细胞	n	4.82	10
死	v	4.82	19
错	v	4.81	17
抵制	v	4.81	7
么多	nrf	4.76	8
人类基因池	n_new	4.75	4
怕	v	4.74	16
构成	v	4.72	5
样子	n	4.72	5
执业	vn	4.72	5
开头	n	4.72	5
简单	a	4.71	10
申请	v	4.70	6
麻烦	an	4.69	9
只是	d	4.64	15
有点	d	4.63	10
真是	d	4.62	17
成熟	a	4.61	14
么样	n_new	4.60	19
         	n	4.55	3
改	vd	4.53	16
学术界	n	4.47	7
终于	d	4.45	35
蝴蝶效应	n_new	4.42	4
不好	a	4.34	10
很多	m	4.34	26
转发微博	n_new	4.32	5
成功	a	4.30	18
清楚	a	4.28	7
聪明	a	4.28	7
比较	d	4.27	10
普通	a	4.26	8
无知	a	4.25	9
偷偷	d	4.25	10
甚至	d	4.23	14
完全	ad	4.23	9
孩子无罪	n_new	4.21	2
生化危机	n_new	4.21	2
高三语文	n_new	4.21	2
爸妈	n_new	4.21	2
前沿科技	n_new	4.21	2
基因重组	n_new	4.21	2
脑补	n_new	4.21	2
现在看起来	n_new	4.21	2
现实版	n_new	4.21	2
底线不容	n_new	4.21	2
旧人类	n_new	4.21	2
选修三	n_new	4.21	2
讲解一下	n_new	4.21	2
电影题材	n_new	4.21	2
商业利益	n_new	4.21	2
主流媒体	n_new	4.21	2
现行法律	n_new	4.21	2
动漫	n_new	4.21	2
姓贺	n_new	4.21	2
临床试验	n_new	4.21	2
医师资格	n_new	4.21	2
艾滋病患者	n_new	4.21	2
        	n	4.21	2
先天性疾病	n_new	4.21	2
居然	d	4.19	15
不要	d	4.19	13
或许	d	4.17	16
难道	d	4.16	12
贺	vg	4.16	15
SEED	n	4.16	6
活	v	4.11	20
魔幻	n_new	4.10	3
娃娃	n	4.09	5
注定	v	4.09	5
验证	v	4.08	3
芹菜	n	4.08	3
懂	v	4.07	43
符合	v	4.05	8
引起	v	3.96	4
相应	vi	3.96	4
便宜	v	3.96	4
欲望	n	3.96	4
一定	d	3.96	22
真的	d	3.92	23
害	n	3.89	13
疯狂	a	3.89	10
来到	v	3.87	5
科学界	n	3.87	5
杀手	n	3.87	5
幌子	n	3.86	3
一直	d	3.86	10
好好	d	3.82	9
保持	v	3.79	3
案件	n	3.79	3
道路	n	3.79	3
材料	n	3.79	3
看法	n	3.79	3
必然	n	3.79	3
表达	vn	3.79	3
妈妈	n	3.79	3
损害	v	3.79	3
直到	v	3.79	3
种子	n	3.79	3
适合	v	3.79	3
子女	n	3.79	3
听说	v	3.79	3
思维	n	3.79	3
边界	n	3.79	3
名誉	n	3.79	3
研究员	n	3.79	3
记忆	n	3.79	3
灾难	n	3.79	3
种族	n	3.79	3
延续	v	3.79	3
正义	n	3.79	3
职称	n	3.79	3
监狱	n	3.79	3
挽回	v	3.79	3
开端	n	3.79	3
地步	n	3.79	3
有效性	n	3.79	3
笑话	n	3.79	3
猜测	v	3.79	3
天才	n	3.79	3
轮回	vi	3.79	3
私欲	n	3.79	3
领养	v	3.79	3
编译	v	3.79	3
牺牲品	n	3.79	3
玩意	n	3.79	3
遗传学	n	3.79	3
宣传	vn	3.79	2
科学技术	n	3.79	4
好奇	a	3.79	8
判罚	v	3.79	4
巨大	a	3.77	7
学生	n	3.75	7
之前	f	3.74	17
身上	s	3.74	18
一点	mq	3.72	12
可恶	a	3.72	7
平等	a	3.69	8
痛苦	an	3.69	7
秘密	ad	3.69	7
自私	a	3.69	7
基本	a	3.69	5
容易	ad	3.69	5
不幸	a	3.69	5
大事	n	3.68	4
突然	ad	3.68	9
强大	a	3.65	6
厉害	a	3.65	6
合法	a	3.64	9
名单	n	3.64	3
人民	n	3.57	5
取得	v	3.56	5
掉	v	3.55	10
考	v	3.54	14
病	n	3.53	9
地区	n	3.51	2
有关	vn	3.51	2
精神	n	3.51	2
基础	n	3.51	2
思想	n	3.51	2
作用	n	3.51	2
条件	n	3.51	2
采取	v	3.51	2
民族	n	3.51	2
监督	v	3.51	2
作出	v	3.51	2
推动	v	3.51	2
意见	n	3.51	2
时期	n	3.51	2
标准	n	3.51	2
意义	n	3.51	2
表现	v	3.51	2
维护	v	3.51	2
转变	v	3.51	2
进程	n	3.51	2
集体	n	3.51	2
感到	v	3.51	2
面临	v	3.51	2
推广	vn	3.51	2
武器	n	3.51	2
电视	n	3.51	2
学者	n	3.51	2
做到	v	3.51	2
方向	n	3.51	2
引导	v	3.51	2
职业	n	3.51	2
状态	n	3.51	2
故事	n	3.51	2
资料	n	3.51	2
评价	v	3.51	2
秩序	n	3.51	2
效果	n	3.51	2
满足	v	3.51	2
费用	n	3.51	2
观点	n	3.51	2
战士	n	3.51	2
感谢	v	3.51	2
女子	n	3.51	2
避免	v	3.51	2
大局	n	3.51	2
予以	vx	3.51	2
属于	v	3.51	2
真理	n	3.51	2
工作者	n	3.51	2
生存	vi	3.51	2
程序	n	3.51	2
司法	n	3.51	2
享受	v	3.51	2
消除	v	3.51	2
接触	vn	3.51	2
年龄	n	3.51	2
对待	v	3.51	2
家长	n	3.51	2
喜欢	vi	3.51	2
一代	n	3.51	2
使命	n	3.51	2
公务员	n	3.51	2
透露	v	3.51	2
干预	vn	3.51	2
付出	v	3.51	2
遭受	v	3.51	2
话题	n	3.51	2
本质	n	3.51	2
赔偿	v	3.51	2
致使	v	3.51	2
补充	v	3.51	2
情绪	n	3.51	2
展现	v	3.51	2
敢于	v	3.51	2
时机	n	3.51	2
发明	v	3.51	2
公众	n	3.51	2
智力	n	3.51	2
导演	n	3.51	2
不顾	v	3.51	2
入手	vi	3.51	2
勇于	v	3.51	2
论证	vn	3.51	2
同行	n	3.51	2
包装	v	3.51	2
提到	v	3.51	2
回报	vn	3.51	2
阅读	v	3.51	2
等于	v	3.51	2
如下	vi	3.51	2
法治	n	3.51	2
民众	n	3.51	2
编制	v	3.51	2
审核	vn	3.51	2
足够	v	3.51	2
刺激	vn	3.51	2
证实	v	3.51	2
等级	n	3.51	2
侵犯	v	3.51	2
人群	n	3.51	2
看见	v	3.51	2
药物	n	3.51	2
丧失	v	3.51	2
课堂	n	3.51	2
人文	n	3.51	2
获取	v	3.51	2
统治	vn	3.51	2
孤儿	n	3.51	2
判处	v	3.51	2
看待	v	3.51	2
内心	n	3.51	2
弊端	n	3.51	2
性格	n	3.51	2
尝试	vn	3.51	2
融入	v	3.51	2
赞同	v	3.51	2
动手	vi	3.51	2
阻止	v	3.51	2
高考	vi	3.51	2
阻碍	v	3.51	2
原本	n	3.51	2
补偿	vn	3.51	2
泛滥	vi	3.51	2
界限	n	3.51	2
记住	v	3.51	2
人身	n	3.51	2
边缘	n	3.51	2
主流	n	3.51	2
预料	v	3.51	2
细节	n	3.51	2
肿瘤	n	3.51	2
无视	v	3.51	2
尺度	n	3.51	2
显现	v	3.51	2
缺点	n	3.51	2
谢谢	v	3.51	2
吹	v	3.51	8
拯救	v	3.51	2
杂交	vn	3.51	2
小心	v	3.51	2
芯片	n	3.51	2
坚守	v	3.51	2
本科	n	3.51	2
团队	n	3.51	2
能量	n	3.51	2
生死	n	3.51	2
得了	vi	3.51	2
学识	n	3.51	2
名声	n	3.51	2
警示	vn	3.51	2
宽容	v	3.51	2
签证	n	3.51	2
扰乱	v	3.51	2
养育	v	3.51	2
隐藏	v	3.51	2
曙光	n	3.51	2
修正	v	3.51	2
史册	n	3.51	2
复制	v	3.51	2
触犯	v	3.51	2
鼓掌	vi	3.51	2
怀孕	vi	3.51	2
疫苗	n	3.51	2
重现	v	3.51	2
门槛	n	3.51	2
疑惑	vn	3.51	2
解剖	vn	3.51	2
攀比	v	3.51	2
阴谋	n	3.51	2
严重性	n	3.51	2
灭绝	vi	3.51	2
成年	vn	3.51	2
医德	n	3.51	2
判定	v	3.51	2
求知	vi	3.51	2
基数	n	3.51	2
冒险	vd	3.51	2
铺天盖地	vl	3.51	2
法则	n	3.51	2
操心	v	3.51	2
生化	n	3.51	2
口子	n	3.51	2
不足以	v	3.51	2
抵消	v	3.51	2
病变	vn	3.51	2
改动	vn	3.51	2
副作用	n	3.51	2
生物学	n	3.51	2
网站	n	3.51	2
作弊	vn	3.51	2
扼杀	v	3.51	2
艾滋病毒	n	3.51	2
有悖于	v	3.51	2
后遗症	n	3.51	2
以史为鉴	vl	3.51	2
左派	n	3.51	2
混入	v	3.51	2
祭天	vi	3.51	2
重操旧业	vl	3.51	2
下手	vi	3.51	2
引以为戒	vl	3.51	2
起跑线	n	3.51	2
默认	v	3.51	2
精子	n	3.51	2
下文	n	3.51	2
抹黑	vi	3.51	2
超乎	v	3.51	2
坏处	n	3.51	2
福祉	n	3.51	2
不了了之	vl	3.51	2
染色体	n	3.51	2
因果	n	3.51	2
哥们	n	3.51	2
妄想	v	3.51	2
令人发指	vl	3.51	2
卷子	n	3.51	2
打扰	v	3.51	2
核弹	n	3.51	2
网友	n	3.51	2
惊世骇俗	vl	3.51	2
怪物	n	3.51	2
凉气	n	3.51	2
造作	v	3.51	2
痴心妄想	vl	3.51	2
crisper	n	3.51	2
扯淡	v	3.51	2
谋杀罪	n	3.51	2
巫师	n	3.51	2
的确	d	3.48	9
关	v	3.47	10
一旦	d	3.46	8
科普	b	3.45	13
敢	v	3.44	20
服务	vn	3.42	3
信息	n	3.42	3
关键	n	3.42	3
面对	v	3.42	3
充满	v	3.42	3
做法	n	3.42	3
想法	n	3.42	3
公告	n	3.42	3
钥匙	n	3.42	3
伪造	vn	3.42	3
涉案人员	n	3.42	3
大快人心	nl	3.42	3
白鼠	n_new	3.42	6
永远	d	3.41	10
也许	d	3.40	8
竟然	d	3.40	8
反正	d	3.39	6
资金	n	3.30	4
财政	n	3.30	4
辅助	vn	3.30	4
公平	an	3.24	7
第一	m	3.22	15
追究	v	3.21	12
命	vg	3.20	8
杀	v	3.18	9
严格	ad	3.18	5
有害	a	3.18	5
子	ng	3.17	7
管	v	3.15	8
丧心病狂	al	3.12	6
一审	n	3.12	6
认真	a	3.11	4
具体	a	3.11	4
有利	a	3.11	4
不够	a	3.11	4
高级	a	3.07	5
不行	a	3.07	5
绝对	d	2.99	9
共同	d	2.98	7
@央视新闻	nr	2.97	2
根本	d	2.94	10
不同	a	2.92	7
非常	d	2.92	6
所有	b	2.91	10
刑	n	2.85	7
课	n	2.84	8
完	vi	2.84	10
被告	n	2.83	13
换	v	2.82	6
造	v	2.82	6
特殊	a	2.71	4
双子	n	2.71	4
爆出	v	2.66	6
正确	a	2.62	5
错误	a	2.62	5
简直	d	2.59	12
乱伦	n_new	2.59	2
临床实验	n_new	2.59	2
何其无辜	n_new	2.59	2
自然状态	n_new	2.59	2
信	v	2.58	8
重要	a	2.57	4
最终	d	2.57	6
不良	a	2.57	4
类似	a	2.57	4
合适	a	2.57	4
谨慎	ad	2.57	4
DNA	n	2.57	4
到底	d	2.57	7
一些	mq	2.57	7
必须严惩不贷	n_new	2.53	3
万一	d	2.52	6
恶劣	a	2.51	5
吓人	a	2.51	5
残忍	a	2.51	7
知	v	2.49	6
利	n	2.49	6
追	v	2.49	6
喷	v	2.49	6
越来越	d	2.49	4
真心	d	2.49	4
這	n	2.49	4
程度	n	2.48	3
比例	n	2.48	3
合理	ad	2.48	3
身份	n	2.48	3
大胆	a	2.48	3
延长	v	2.48	3
严厉	ad	2.48	3
随意	ad	2.48	3
神圣	a	2.48	3
善良	a	2.48	3
不对	a	2.48	3
头痛	a	2.48	3
迟早	a	2.48	3
自由自在	al	2.48	3
应得	vn	2.48	3
可悲	a	2.48	3
脑	n	2.46	5
骂	v	2.46	5
优秀	a	2.43	4
先驱者	n	2.43	2
论调	n	2.43	2
轻	a	2.41	162
中心	n	2.40	3
安排	v	2.40	1
宝藏	n	2.40	1
黑猩猩	n	2.40	1
严谨	a	2.40	10
几百万	m	2.29	5
三百万	m	2.24	4
毕竟	d	2.23	15
贺健奎	nr	2.23	2
整个	b	2.21	5
人工	b	2.19	6
真正	b	2.19	9
实在	d	2.18	8
放	v	2.17	8
例	n	2.17	4
妈	n	2.17	8
本来	d	2.16	7
报告	v	2.16	2
现象	n	2.16	2
力度	n	2.16	2
形象	n	2.16	2
战争	n	2.16	2
权力	n	2.16	2
命运	n	2.15	2
知识分子	n	2.15	2
印象	n	2.15	2
反应	vn	2.15	2
推荐	v	2.15	2
例如	v	2.15	2
失败	vi	2.15	2
阳光	n	2.15	2
情感	n	2.15	2
脱离	v	2.15	2
说法	n	2.15	2
领袖	n	2.15	2
一面	n	2.15	2
大自然	n	2.15	2
漏洞	n	2.15	2
爸爸	n	2.15	2
蓝色	n	2.15	2
关联	vn	2.15	2
喜讯	n	2.15	2
隔离	vn	2.15	2
罪恶	n	2.15	2
器官	n	2.15	2
外延	n	2.15	2
载入	v	2.15	2
底层	n	2.15	2
散落	v	2.15	2
苦果	n	2.15	2
白菜	n	2.15	2
大义	n	2.15	2
世事	n	2.15	2
侮辱	v	2.15	2
威慑	vn	2.15	2
患有	v	2.15	2
唯利是图	vl	2.15	2
